T3 - 9Sep_MapMor_GT_832,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column15,Column16,Column17,Column18,Column20,Column23,Column24,Column33,Column34,Column35,Column36
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI,Row,Irrig,Space,Scholand
11,4,28.7031,41.24418259,-7.114666939,-88.38,-572.43,-88.7,-571.4,152.9,25.49,23.2,1005.1,34.1,253,0.75,0.08,32,60,3,10
11,4,28.8984,41.24417496,-7.114668846,-88.57,-572.96,-89.07,-571.98,152.9,25.49,23.2,1005.1,34.1,243,0.78,0.04,32,60,3,10
11,4,29.2031,41.24417496,-7.114671707,-88.82,-573.17,-89.33,-572.18,152.8,25.72,23.2,1005.1,34.1,243,0.78,0.04,32,60,3,10
11,4,29.6016,41.24417496,-7.114674091,-89,-573.18,-89.38,-572.15,152.8,25.72,23.2,1005.1,34.1,250,0.74,0.04,32,60,3,10
11,4,29.8984,41.24417496,-7.114675999,-89.13,-573.2,-89.55,-572.19,152.8,25.72,23.2,1005.1,34.1,248,0.74,-0.01,32,60,3,10
11,4,30.2031,41.24417496,-7.114676952,-89.25,-573.21,-89.73,-572.2,152.8,24.12,23.2,1005.1,34.1,245,0.74,-0.01,32,60,3,10
11,4,30.3984,41.24417496,-7.114677906,-89.31,-573.21,-89.82,-572.17,152.8,24.12,23.2,1005.1,34.1,244,0.71,-0.01,32,60,3,10
11,4,30.7031,41.24417496,-7.11467886,-89.38,-573.22,-89.77,-572.12,152.8,24.12,23.2,1005.1,34.1,251,0.8792,0.08,32,60,3,10
11,4,30.8984,41.24417496,-7.114679813,-89.5,-573.23,-89.86,-572.21,152.8,24.12,23.2,1005.1,34.1,251,0.8792,0.08,32,60,3,10
11,4,31.2031,41.24417496,-7.114682198,-89.69,-573.24,-90.03,-572.23,152.7,25.2,23.2,1005.1,34,252,0.8792,0.08,32,60,3,10
11,4,31.3984,41.24417496,-7.114684105,-89.81,-573.25,-90.22,-572.31,152.7,25.2,23.2,1005.1,34,247,0.8792,0.08,32,60,3,10
11,4,31.7031,41.24417496,-7.114685059,-89.87,-573.26,-90.21,-572.28,152.7,25.2,23.2,1005.1,34,251,0.8792,0.08,32,60,3,10
11,4,31.8984,41.24417496,-7.114686012,-90,-572.93,-90.28,-572.22,152.7,26.29,23.2,1005.1,34,249,0.8792,0.08,32,60,3,10
11,4,32.2031,41.24416351,-7.11468792,-90.12,-574.88,-90.36,-574.19,152.7,26.29,23.2,1005.1,33.9,251,0.78,-0.04,32,60,3,10
11,4,32.6016,41.24416351,-7.114690304,-90.37,-574.9,-90.83,-573.89,152.7,26.29,23.2,1005.1,33.9,246,0.78,-0.04,32,60,3,10
11,4,33.3984,41.24416351,-7.114694118,-90.68,-574.93,-91.04,-573.9,152.7,26.92,23.2,1005.1,33.9,251,0.74,0.11,32,60,3,10
11,4,33.7031,41.24416351,-7.114695072,-90.74,-574.93,-91.15,-573.87,152.7,26.15,23.2,1005.1,33.8,249,0.72,0.11,32,60,3,10
