T5 - 10Sep_Morning930_GT,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column15,Column16,Column17,Column18,Column20,Column23,Column24,Column33,Column34,Column35,Column36
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRI,Row,Space,Irrig,Scholand
10,27,55.5,41.24419785,-7.114619732,-84.35,-571.11,0,0,153.6,23.93,22.2,1003.7,42.5,249,0.62,0.08,,,,
10,27,55.7969,41.24419785,-7.114622116,-84.6,-571.13,0,0,153.6,0,22.2,1003.7,42.5,249,0,0,,,,
10,27,56,41.24419785,-7.11462307,-84.73,-570.81,-85.08,-569.88,153.6,0,22.2,1003.7,42.5,250,0,0,,,,
10,27,56.2969,41.24419022,-7.114624977,-84.91,-571.53,-85.33,-570.52,153.6,22.99,22.2,1003.7,42.5,248,0.72,0,,,,
10,27,56.6016,41.24419022,-7.114625931,-84.97,-571.54,-85.35,-570.56,153.6,22.99,22.2,1003.7,42.5,249,0.72,-0.18,,,,
10,27,56.7969,41.24419022,-7.114626884,-85.04,-571.54,-85.39,-570.59,153.6,22.99,22.2,1003.7,42.5,250,0.72,-0.18,,,,
10,27,57.1016,41.24419022,-7.114629269,-85.28,-571.56,-85.64,-570.74,153.6,22.99,22.2,1003.7,42.5,247,0.72,-0.18,,,,
10,27,57.3984,41.24419022,-7.114630222,-85.35,-571.57,-85.64,-570.74,153.6,22.99,22.2,1003.7,42.5,251,0.72,-0.18,,,,
10,27,57.6016,41.24419022,-7.114631176,-85.41,-571.57,-85.75,-570.74,153.6,23.32,22.2,1003.7,42.5,248,0.72,-0.18,,,,
10,27,57.8984,41.24419022,-7.11463213,-85.47,-571.58,-85.84,-570.73,153.6,23.32,22.2,1003.7,42.6,247,0.72,-0.05,,,,
10,27,58.2031,41.24419022,-7.114634037,-85.66,-571.59,-86,-570.68,153.5,23.32,22.2,1003.7,42.6,250,0.54,-0.05,,,,
10,27,58.5,41.24419022,-7.114636421,-85.84,-571.61,-86.22,-570.72,153.5,23.32,22.2,1003.7,42.6,247,0.54,-0.05,,,,
10,27,58.7031,41.24419022,-7.114636421,-85.84,-571.61,-86.29,-570.74,153.5,23.32,22.2,1003.7,42.6,243,0.54,0.05,,,,
10,27,59,41.24419022,-7.114636421,-85.84,-571.61,-86.1,-570.66,153.5,23.32,22.2,1003.7,42.6,255,0.58,0.05,,,,
10,27,59.2969,41.24419022,-7.114637375,-85.9,-571.61,-86.23,-570.63,153.5,24.67,22.2,1003.7,42.6,252,0.58,0.05,,,,
10,27,59.6016,41.24419022,-7.114640236,-86.15,-571.63,0,0,153.5,24.67,22.2,1003.7,42.6,244,0.59,-0.02,,,,
10,27,59.8984,41.24419022,-7.114643574,-86.4,-571.65,-86.83,-570.79,153.5,0,22.2,1003.7,42.6,244,0,0,,,,
10,28,0.203125,41.24419022,-7.114643574,-86.4,-571.65,-86.69,-570.74,153.5,0,22.2,1003.7,42.6,253,0,0,,,,
10,28,0.5,41.24419022,-7.114645481,-86.59,-571.67,-86.95,-570.71,153.5,0,22.2,1003.7,42.6,250,0.64,0.15,32,3,60,-11.50
10,28,0.796875,41.24418259,-7.114648342,-86.83,-572.59,-87.29,-571.67,153.5,24.36,22.2,1003.7,42.5,244,0.64,0.15,32,3,60,-11.50
10,28,1.10156,41.24419022,-7.114650249,-87.08,-571.38,-87.55,-570.5,153.4,24.36,22.2,1003.7,42.5,242,0.64,0.15,32,3,60,-11.50
10,28,1.39844,41.24418259,-7.11465168,-87.14,-572.28,-87.51,-571.34,153.4,24.36,22.2,1003.7,42.5,249,0.64,0.15,32,3,60,-11.50
10,28,1.60156,41.24418259,-7.11465168,-87.14,-572.28,-87.58,-571.35,153.5,24.36,22.2,1003.7,42.5,245,0.64,0.15,32,3,60,-11.50
10,28,1.89844,41.24418259,-7.114652634,-87.21,-572.28,-87.56,-571.39,153.5,24.36,22.2,1003.7,42.5,249,0.64,0.01,32,3,60,-11.50
10,28,2.20313,41.24418259,-7.114654541,-87.39,-572.49,-87.76,-571.68,153.4,24.36,22.2,1003.7,42.5,246,0.65,0.01,32,3,60,-11.50
10,28,2.5,41.24418259,-7.114656448,-87.58,-572.5,-87.99,-571.68,153.4,24.55,22.2,1003.7,42.5,244,0.65,0.01,32,3,60,-11.50
