T2 - 7Aug_MidSpaces_GT,,,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column15,Column16,Column17,Column18,Column20,Column23,Column24,Column33,Column34,Column35,Column36,Column37,Column38,Column39
Hour,Min,Sec,Lat,Lon,East,North,Ecrop,N_crop,Alt,Tcanopy,Tambient,Pressure,Humidity,HeadCompass,NDVI,PRImed,Row,Irrig,Space,Scholander,,,
14,33,53,41.24448395,-7.115281105,-139.85,-539.17,-139.94,-538.4,153.9,38.48,46,997,15.3,263.94,0.76,0.51,8,15,9,-14,,,
14,33,53.3984,41.24448395,-7.115282059,-139.91,-539.18,-140,-538.36,153.9,38.48,45.9,997,15.3,264.3,0.82,0.51,8,15,9,-14,,,
14,33,53.7031,41.24448395,-7.115284443,-140.1,-539.19,-140.25,-538.41,153.9,38.37,45.9,997,15.3,259.8,0.82,0.51,8,15,9,-14,,,
14,33,54.2031,41.24448395,-7.11528635,-140.29,-539.21,-140.43,-538.45,153.9,38.37,45.9,997,15.3,260.05,0.82,0.51,8,15,9,-14,,,
14,33,54.5,41.24448395,-7.115287304,-140.35,-539.21,-140.51,-538.34,153.9,38.29,45.9,997,15.3,259.73,0.82,0.51,8,15,9,-14,,,
14,33,54.8984,41.24448395,-7.115289211,-140.53,-539.23,-140.65,-538.4,153.9,38.29,45.9,997,15.3,261.99,0.78,0.51,8,15,9,-14,,,
14,33,55.2031,41.24448395,-7.115290165,-140.6,-539.24,-140.71,-538.44,153.9,38.29,45.9,997,15.3,262.72,0.78,0.39,8,15,10,-13.25,,,
14,33,55.5,41.2444725,-7.115291119,-140.66,-540.32,-140.76,-539.59,153.9,38.52,45.9,997,15.3,262.42,0.78,0.39,8,15,10,-13.25,,,
14,33,55.8984,41.2444725,-7.115293503,-140.91,-540.34,-141.03,-539.52,153.9,38.52,45.9,997,15.3,262.29,0.83,0.39,8,15,10,-13.25,,,
14,33,56.2031,41.2444725,-7.115294456,-140.97,-540.35,-141.05,-539.38,153.9,38.7,45.9,997,15.3,265.88,0.83,0.39,8,15,10,-13.25,,,
14,33,56.6016,41.2444725,-7.11529541,-141.03,-540.54,-141.13,-539.64,153.9,38.7,45.9,997,15.3,264.19,0.81,0.39,8,15,10,-13.25,,,
14,33,57,41.2444725,-7.115298271,-141.28,-540.56,-141.39,-539.72,153.9,38.7,45.9,997,15.3,262.93,0.81,0.39,8,15,10,-13.25,,,
14,33,57.2969,41.2444725,-7.115299702,-141.4,-540.57,-141.52,-539.75,153.9,38.59,45.9,997,15.3,261.94,0.81,0.39,8,15,10,-13.25,,,
14,33,57.6016,41.2444725,-7.115300655,-141.46,-540.58,-141.57,-539.73,153.9,38.59,45.9,997,15.3,263.27,0.81,0.39,8,15,10,-13.25,,,
14,33,57.8984,41.2444725,-7.115301609,-141.59,-540.59,-141.71,-539.7,153.9,38.59,45.9,997,15.4,262.46,0.81,0.39,8,15,10,-13.25,,,
14,33,58.1016,41.2444725,-7.115302563,-141.65,-540.59,-141.76,-539.71,153.9,36.86,45.9,997,15.4,263.54,0.81,0.39,8,15,10,-13.25,,,
14,33,58.5,41.2444725,-7.115303516,-141.71,-540.6,-141.86,-539.73,153.9,36.86,45.9,997,15.4,260.92,0.81,0.39,8,15,10,-13.25,,,
14,33,58.7031,41.2444725,-7.11530447,-141.77,-540.6,-141.98,-539.71,153.9,36.86,45.9,997,15.4,257.04,0.81,0.39,8,15,10,-13.25,,,
14,33,58.8984,41.2444725,-7.11530447,-141.77,-540.6,-141.89,-539.41,153.9,37.89,45.9,997,15.4,264.56,0.73,0.39,8,15,10,-13.25,,,
14,33,59.2031,41.2444725,-7.11530447,-141.77,-540.6,-141.89,-539.39,153.9,37.89,45.9,997,15.4,264.49,0.73,0.39,8,15,10,-13.25,,,
14,33,59.5,41.2444725,-7.115306377,-141.96,-540.62,-142.01,-539.49,153.8,37.89,45.9,997,15.4,267.97,0.73,0.39,8,15,10,-13.25,,,
14,33,59.7031,41.2444725,-7.115308762,-142.15,-540.63,-142.34,-539.58,153.9,37.89,45.9,997,15.4,260.2,0.74,0.39,8,15,10,-13.25,,,
14,34,0,41.2444725,-7.115309715,-142.27,-540.65,-142.39,-539.58,153.8,38.39,45.9,997,15.4,263.77,0,0.39,8,15,10,-13.25,,,
14,34,0.296875,41.2444725,-7.115310669,-142.33,-540.65,-142.37,-539.57,153.9,38.39,45.8,997,15.4,268.27,0,0.39,8,15,10,-13.25,,,
14,34,0.5,41.2444725,-7.115311623,-142.39,-540.66,-142.55,-539.7,153.9,38.39,45.8,997,15.4,260.94,0.73,0.39,8,15,10,-13.25,,,
14,34,0.796875,41.24446487,-7.115312576,-142.52,-540.85,-142.57,-539.91,153.9,38.83,45.9,997,15.4,267.42,0,0.39,8,15,10,-13.25,,,
14,34,1.10156,41.24446487,-7.11531353,-142.64,-540.86,-142.74,-539.96,153.9,38.83,45.9,997,15.4,264.29,0,0.39,8,15,10,-13.25,,,
14,34,1.39844,41.24446487,-7.115315914,-142.83,-540.88,-142.95,-540.11,153.9,38.83,45.8,997,15.4,261.43,0.75,0.39,8,15,10,-13.25,,,
14,34,1.70313,41.24446487,-7.115316868,-142.89,-540.88,-142.96,-540.1,153.9,38.83,45.8,997,15.4,265.6,0.75,0.39,8,15,10,-13.25,,,
14,34,2.10156,41.24446487,-7.115318775,-143.08,-540.9,-143.18,-540.16,153.9,38.83,45.8,997,15.4,262.65,0.75,0.39,8,15,10,-13.25,,,
14,34,2.29688,41.24446487,-7.115318775,-143.08,-540.9,-143.1,-540.17,153.9,39.02,45.8,997,15.4,268.76,0.75,0.39,8,15,10,-13.25,,,
14,34,2.70313,41.24446487,-7.115320683,-143.2,-540.91,-143.32,-540.14,153.9,39.02,45.8,997,15.3,261.27,0.75,0.39,8,15,10,-13.25,,,
14,34,3.10156,41.24446487,-7.115321636,-143.32,-540.92,-143.36,-540.1,153.9,39.02,45.8,997,15.3,267.83,0.76,0.39,8,15,10,-13.25,,,
14,34,3.5,41.24446487,-7.115323067,-143.39,-540.93,-143.44,-540.06,153.9,38.66,45.8,997,15.3,266.95,0.76,0.39,8,15,10,-13.25,,,
